Timestamp,Source MAC,Target MAC,SSID
2025-05-20 09:09:31,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-05-20 09:09:25,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-05-20 09:09:18,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-05-20 09:09:09,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-05-20 09:09:01,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-05-20 08:12:08,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-20 08:12:04,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-20 08:12:00,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-20 08:11:55,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-20 08:11:51,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-20 08:11:47,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-20 08:11:42,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-20 08:11:37,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-20 08:11:32,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-20 08:11:27,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-20 08:09:35,c6:10:cd:89:51:fb,38:6b:1c:21:62:a6,Unknown
2025-05-20 08:02:06,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-20 08:02:02,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-20 08:01:57,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-20 08:01:53,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-20 08:01:49,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-20 08:01:45,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-20 08:01:41,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-20 08:01:36,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-20 08:01:32,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-20 08:01:28,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-20 07:20:55,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-20 07:20:51,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-20 07:20:46,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-20 07:20:41,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-20 07:20:37,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-20 07:20:32,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-20 07:20:28,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-20 07:20:23,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
